0.0		Ratio vp/vs
0.00 2.075 0.769
0.20 3.003 1.112
0.40 3.493 1.294
0.60 4.274 1.583
0.80 4.890 2.717
1.00 5.152 2.862
1.20 5.343 2.968
1.40 5.420 3.011
1.60 5.466 3.037
1.80 5.511 3.062
2.00 5.557 3.087
2.20 5.602 3.112
2.40 5.648 3.138
2.60 5.693 3.163
2.80 5.751 3.195
3.00 5.814 3.230
3.20 5.877 3.265
3.40 5.940 3.300
3.60 6.003 3.335
3.80 6.066 3.370
4.00 6.129 3.405
4.20 6.192 3.440
4.40 6.255 3.475
4.60 6.318 3.510
4.80 6.381 3.545
5.00 6.444 3.580
5.20 6.507 3.615
5.40 6.570 3.650
5.60 6.633 3.685
5.80 6.696 3.720
6.00 6.759 3.755
6.20 6.822 3.790
6.40 6.885 3.825
6.60 6.948 3.860
6.80 7.011 3.895
7.00 7.074 3.930
7.20 7.137 3.965
7.40 7.592 4.218
7.60 8.000 4.444
